"","date","hits","keyword","geo","gprop","category"
"103",2016-12-18 01:00:00,40,"lose weight","GR","web",0
"104",2016-12-25 01:00:00,27,"lose weight","GR","web",0
"105",2017-01-01 01:00:00,50,"lose weight","GR","web",0
"106",2017-01-08 01:00:00,29,"lose weight","GR","web",0
"107",2017-01-15 01:00:00,46,"lose weight","GR","web",0
"108",2017-01-22 01:00:00,23,"lose weight","GR","web",0
"109",2017-01-29 01:00:00,35,"lose weight","GR","web",0
"110",2017-02-05 01:00:00,35,"lose weight","GR","web",0
"111",2017-02-12 01:00:00,42,"lose weight","GR","web",0
"112",2017-02-19 01:00:00,48,"lose weight","GR","web",0
"113",2017-02-26 01:00:00,41,"lose weight","GR","web",0
"114",2017-03-05 01:00:00,17,"lose weight","GR","web",0
"115",2017-03-12 01:00:00,75,"lose weight","GR","web",0
"116",2017-03-19 01:00:00,61,"lose weight","GR","web",0
"117",2017-03-26 01:00:00,30,"lose weight","GR","web",0
"118",2017-04-02 00:00:00,42,"lose weight","GR","web",0
"119",2017-04-09 00:00:00,40,"lose weight","GR","web",0
"120",2017-04-16 00:00:00,25,"lose weight","GR","web",0
"121",2017-04-23 00:00:00,30,"lose weight","GR","web",0
"122",2017-04-30 00:00:00,43,"lose weight","GR","web",0
"123",2017-05-07 00:00:00,36,"lose weight","GR","web",0
"124",2017-05-14 00:00:00,25,"lose weight","GR","web",0
"125",2017-05-21 00:00:00,69,"lose weight","GR","web",0
"126",2017-05-28 00:00:00,89,"lose weight","GR","web",0
"127",2017-06-04 00:00:00,19,"lose weight","GR","web",0
"128",2017-06-11 00:00:00,37,"lose weight","GR","web",0
"129",2017-06-18 00:00:00,49,"lose weight","GR","web",0
"130",2017-06-25 00:00:00,45,"lose weight","GR","web",0
"131",2017-07-02 00:00:00,33,"lose weight","GR","web",0
"132",2017-07-09 00:00:00,59,"lose weight","GR","web",0
"133",2017-07-16 00:00:00,77,"lose weight","GR","web",0
"134",2017-07-23 00:00:00,51,"lose weight","GR","web",0
"135",2017-07-30 00:00:00,26,"lose weight","GR","web",0
"136",2017-08-06 00:00:00,53,"lose weight","GR","web",0
"137",2017-08-13 00:00:00,35,"lose weight","GR","web",0
"138",2017-08-20 00:00:00,25,"lose weight","GR","web",0
"139",2017-08-27 00:00:00,47,"lose weight","GR","web",0
"140",2017-09-03 00:00:00,18,"lose weight","GR","web",0
"141",2017-09-10 00:00:00,18,"lose weight","GR","web",0
"142",2017-09-17 00:00:00,35,"lose weight","GR","web",0
"143",2017-09-24 00:00:00,58,"lose weight","GR","web",0
"144",2017-10-01 00:00:00,12,"lose weight","GR","web",0
"145",2017-10-08 00:00:00,43,"lose weight","GR","web",0
"146",2017-10-15 00:00:00,36,"lose weight","GR","web",0
"147",2017-10-22 00:00:00,31,"lose weight","GR","web",0
"148",2017-10-29 00:00:00,12,"lose weight","GR","web",0
"149",2017-11-05 01:00:00,31,"lose weight","GR","web",0
"150",2017-11-12 01:00:00,30,"lose weight","GR","web",0
